               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.026856,           0.0076202,                   0,             0.92379,                   1,             0.99044,             0.58504,            0.024932,           0.0033005,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.028943,           0.0075767,                   0,                   1,              0.9539,             0.99204,             0.66231,            0.020699,           0.0032039,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.029875,            0.007458,                   0,               0.961,                   1,             0.99346,             0.62578,            0.022388,           0.0032321,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.028825,           0.0080584,                   0,             0.99274,                0.96,             0.99204,             0.69893,            0.019802,           0.0032001,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.026751,            0.008497,                   0,             0.99632,                0.96,             0.99204,             0.51992,            0.029242,           0.0032112,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.028968,           0.0078262,                   0,             0.99847,                0.96,             0.99204,             0.67588,            0.021513,           0.0031327,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026123,           0.0077598,                   0,             0.99825,                0.96,             0.99346,             0.65376,            0.023246,           0.0030694,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024917,           0.0077312,                   0,             0.95844,                   1,             0.99346,             0.67569,            0.020326,           0.0030665,                   0,            0.005545,            0.005545,            0.005545
                  47,              0.0236,           0.0069412,                   0,             0.96126,                   1,             0.99346,             0.69497,            0.019236,           0.0031023,                   0,            0.005446,            0.005446,            0.005446
                  48,             0.02759,           0.0074344,                   0,             0.95711,                   1,             0.99346,             0.67252,            0.020168,           0.0031376,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.027693,           0.0073371,                   0,             0.95943,                   1,             0.99346,             0.70307,            0.021378,           0.0032018,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.025619,           0.0073273,                   0,             0.96141,             0.99663,             0.99192,             0.70406,            0.020974,           0.0030898,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024451,           0.0067133,                   0,             0.96137,              0.9957,             0.99192,             0.63459,            0.024187,            0.003207,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025514,            0.007237,                   0,             0.96139,             0.99605,             0.99346,              0.6794,            0.021162,           0.0030989,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.023908,           0.0071923,                   0,             0.96149,             0.99865,             0.99038,             0.67191,            0.020646,           0.0029653,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.021848,           0.0065825,                   0,             0.96153,             0.99983,             0.99346,             0.70032,            0.021455,           0.0030681,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024629,           0.0066099,                   0,             0.96132,             0.99443,             0.99192,             0.71307,            0.019869,           0.0030309,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022947,           0.0070003,                   0,             0.95966,             0.95191,             0.99044,             0.69894,            0.018877,           0.0029731,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023241,           0.0063798,                   0,             0.94704,                   1,             0.99192,             0.72281,            0.018896,           0.0030257,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.023546,            0.006503,                   0,             0.95758,                0.96,             0.99204,             0.69041,            0.018778,           0.0030264,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021937,           0.0069403,                   0,             0.95457,                0.96,             0.99044,             0.67407,            0.021244,           0.0029654,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022596,           0.0064948,                   0,             0.96131,               0.994,             0.99192,             0.73106,            0.018927,           0.0029557,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02394,           0.0066432,                   0,             0.96143,             0.99712,             0.99192,             0.62368,            0.023235,           0.0029617,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.023638,           0.0068014,                   0,             0.96133,             0.99463,             0.99346,             0.68935,            0.020249,           0.0029249,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.020775,           0.0060419,                   0,              0.9612,             0.99124,             0.99346,             0.71927,            0.019998,           0.0028307,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.022605,           0.0063927,                   0,             0.96123,             0.99191,             0.99346,             0.66875,            0.022273,           0.0029216,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.023931,           0.0066784,                   0,             0.96143,             0.99722,             0.99346,             0.71095,            0.019083,           0.0029722,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022476,           0.0065223,                   0,             0.95505,                   1,             0.99192,             0.69362,            0.018896,           0.0029292,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022969,           0.0066245,                   0,             0.96145,             0.99774,             0.99346,             0.64806,            0.021699,           0.0029347,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021343,            0.006086,                   0,              0.9614,             0.99648,             0.99346,             0.66514,             0.02034,           0.0029861,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021525,           0.0064136,                   0,              0.9586,                   1,             0.99346,             0.64053,            0.021702,           0.0030633,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021071,           0.0062444,                   0,             0.95959,                   1,             0.99346,             0.69957,             0.01956,             0.00291,                   0,            0.003169,            0.003169,            0.003169
                  71,             0.02067,           0.0061571,                   0,             0.96151,             0.99925,             0.99346,             0.69092,            0.018918,            0.002884,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.019094,           0.0060869,                   0,             0.95953,                   1,             0.99346,             0.69619,            0.019856,            0.002884,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.020101,           0.0059528,                   0,             0.95906,                   1,             0.99346,              0.6957,            0.019777,           0.0028947,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018858,           0.0062518,                   0,              0.9614,             0.99631,             0.99346,             0.70014,            0.019233,           0.0029703,                   0,            0.002773,            0.002773,            0.002773
                  75,              0.0199,           0.0063935,                   0,             0.99843,                0.96,             0.99204,              0.7101,            0.019151,           0.0029356,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018932,           0.0061151,                   0,                   1,             0.95797,             0.99204,             0.69974,            0.019451,           0.0029381,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.018179,            0.005814,                   0,             0.96291,                0.96,             0.99204,             0.70732,            0.020261,           0.0029148,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.018972,           0.0063126,                   0,             0.96126,             0.99275,             0.99346,             0.69739,            0.019065,           0.0029403,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.020058,           0.0060357,                   0,             0.96125,             0.99244,             0.99346,             0.70591,             0.01919,           0.0030153,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.019795,           0.0061342,                   0,             0.96138,             0.99584,             0.99346,             0.68487,            0.019212,           0.0030097,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.017731,           0.0057464,                   0,             0.96152,             0.99963,             0.99346,             0.69329,            0.019622,           0.0030104,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.019368,           0.0061999,                   0,             0.95995,                   1,             0.99346,             0.69236,            0.019066,           0.0028852,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017937,            0.005616,                   0,             0.95856,                   1,             0.99346,             0.68921,            0.018799,           0.0027837,                   0,            0.001882,            0.001882,            0.001882
